LUGAR;HORA;FECHA;Alcatraz_adulto
BIMEP ALTO E;9:00-9:30;27/06/2019;1
POSBIMEP W;9:00-9:30;27/06/2019;
POSBIMEP A;9:00-9:30;27/06/2019;
POSBIMEP E;9:00-9:30;27/06/2019;
PREBIMEP W;9:30-10:00;27/06/2019;
PREBIMEP A;9:30-10:00;27/06/2019;
PREBIMEP E;9:30-10:00;27/06/2019;
BIMEP BAJO W;9:30-10:00;27/06/2019;1
BIMEP BAJO A;9:30-10:00;27/06/2019;
BIMEP BAJO E;9:30-10:00;27/06/2019;1
BIMEP ALTO W;9:30-10:00;27/06/2019;
BIMEP ALTO E;9:30-10:00;27/06/2019;
POSBIMEP W;9:30-10:00;27/06/2019;
POSBIMEP A;9:30-10:00;27/06/2019;
POSBIMEP E;9:30-10:00;27/06/2019;
PREBIMEP W;10:00-10:30;27/06/2019;
PREBIMEP A;10:00-10:30;27/06/2019;
PREBIMEP E;10:00-10:30;27/06/2019;
BIMEP BAJO W;10:00-10:30;27/06/2019;
BIMEP BAJO A;10:00-10:30;27/06/2019;3
BIMEP BAJO E;10:00-10:30;27/06/2019;
BIMEP ALTO W;10:00-10:30;27/06/2019;
BIMEP ALTO E;10:00-10:30;27/06/2019;
POSBIMEP W;10:00-10:30;27/06/2019;
POSBIMEP A;10:00-10:30;27/06/2019;
POSBIMEP E;10:00-10:30;27/06/2019;
PREBIMEP W;10:30-11:00;27/06/2019;
PREBIMEP A;10:30-11:00;27/06/2019;
PREBIMEP E;10:30-11:00;27/06/2019;
BIMEP BAJO W;10:30-11:00;27/06/2019;
BIMEP BAJO A;10:30-11:00;27/06/2019;
BIMEP BAJO E;10:30-11:00;27/06/2019;
BIMEP ALTO W;10:30-11:00;27/06/2019;
BIMEP ALTO E;10:30-11:00;27/06/2019;
POSBIMEP W;10:30-11:00;27/06/2019;
POSBIMEP A;10:30-11:00;27/06/2019;
POSBIMEP E;10:30-11:00;27/06/2019;
PREBIMEP W;11:00-11:30;27/06/2019;
PREBIMEP A;11:00-11:30;27/06/2019;
PREBIMEP E;11:00-11:30;27/06/2019;
BIMEP BAJO W;11:00-11:30;27/06/2019;
BIMEP BAJO A;11:00-11:30;27/06/2019;
BIMEP BAJO E;11:00-11:30;27/06/2019;
BIMEP ALTO W;11:00-11:30;27/06/2019;
BIMEP ALTO E;11:00-11:30;27/06/2019;
POSBIMEP W;11:00-11:30;27/06/2019;
POSBIMEP A;11:00-11:30;27/06/2019;
POSBIMEP E;11:00-11:30;27/06/2019;
PREBIMEP W;11:30-12:00;27/06/2019;
PREBIMEP A;11:30-12:00;27/06/2019;
PREBIMEP E;11:30-12:00;27/06/2019;
BIMEP BAJO W;11:30-12:00;27/06/2019;
BIMEP BAJO A;11:30-12:00;27/06/2019;
BIMEP BAJO E;11:30-12:00;27/06/2019;
BIMEP ALTO W;11:30-12:00;27/06/2019;
BIMEP ALTO E;11:30-12:00;27/06/2019;
POSBIMEP W;11:30-12:00;27/06/2019;
POSBIMEP A;11:30-12:00;27/06/2019;
POSBIMEP E;11:30-12:00;27/06/2019;
PREBIMEP W;15:45-16:15;27/06/2019;
PREBIMEP A;15:45-16:15;27/06/2019;
PREBIMEP E;15:45-16:15;27/06/2019;
BIMEP BAJO W;15:45-16:15;27/06/2019;
BIMEP BAJO A;15:45-16:15;27/06/2019;
BIMEP BAJO E;15:45-16:15;27/06/2019;
BIMEP ALTO W;15:45-16:15;27/06/2019;
BIMEP ALTO E;15:45-16:15;27/06/2019;
POSBIMEP W;15:45-16:15;27/06/2019;
POSBIMEP A;15:45-16:15;27/06/2019;
POSBIMEP E;15:45-16:15;27/06/2019;
PREBIMEP W;16:15-16:45;27/06/2019;
PREBIMEP A;16:15-16:45;27/06/2019;
PREBIMEP E;16:15-16:45;27/06/2019;
BIMEP BAJO W;16:15-16:45;27/06/2019;
BIMEP BAJO A;16:15-16:45;27/06/2019;
BIMEP BAJO E;16:15-16:45;27/06/2019;
BIMEP ALTO W;16:15-16:45;27/06/2019;1
BIMEP ALTO E;16:15-16:45;27/06/2019;
POSBIMEP W;16:15-16:45;27/06/2019;
POSBIMEP A;16:15-16:45;27/06/2019;
POSBIMEP E;16:15-16:45;27/06/2019;
PREBIMEP W;16:45-17:15;27/06/2019;
PREBIMEP A;16:45-17:15;27/06/2019;
PREBIMEP E;16:45-17:15;27/06/2019;
BIMEP BAJO W;16:45-17:15;27/06/2019;
BIMEP BAJO A;16:45-17:15;27/06/2019;
BIMEP BAJO E;16:45-17:15;27/06/2019;
BIMEP ALTO W;16:45-17:15;27/06/2019;1
BIMEP ALTO E;16:45-17:15;27/06/2019;
POSBIMEP W;16:45-17:15;27/06/2019;
POSBIMEP A;16:45-17:15;27/06/2019;
POSBIMEP E;16:45-17:15;27/06/2019;
PREBIMEP W;17:15-17:45;27/06/2019;
PREBIMEP A;17:15-17:45;27/06/2019;
PREBIMEP E;17:15-17:45;27/06/2019;
BIMEP BAJO W;17:15-17:45;27/06/2019;
BIMEP BAJO A;17:15-17:45;27/06/2019;
BIMEP BAJO E;17:15-17:45;27/06/2019;
BIMEP ALTO W;17:15-17:45;27/06/2019;
BIMEP ALTO E;17:15-17:45;27/06/2019;
POSBIMEP W;17:15-17:45;27/06/2019;
POSBIMEP A;17:15-17:45;27/06/2019;
POSBIMEP E;17:15-17:45;27/06/2019;
PREBIMEP W;17:45-18:15;27/06/2019;1
PREBIMEP A;17:45-18:15;27/06/2019;
PREBIMEP E;17:45-18:15;27/06/2019;
BIMEP BAJO W;17:45-18:15;27/06/2019;
BIMEP BAJO A;17:45-18:15;27/06/2019;
BIMEP BAJO E;17:45-18:15;27/06/2019;
BIMEP ALTO W;17:45-18:15;27/06/2019;
BIMEP ALTO E;17:45-18:15;27/06/2019;
POSBIMEP W;17:45-18:15;27/06/2019;
POSBIMEP A;17:45-18:15;27/06/2019;
POSBIMEP E;17:45-18:15;27/06/2019;
PREBIMEP W;18:15-18:45;27/06/2019;
PREBIMEP A;18:15-18:45;27/06/2019;
PREBIMEP E;18:15-18:45;27/06/2019;
BIMEP BAJO W;18:15-18:45;27/06/2019;
BIMEP BAJO A;18:15-18:45;27/06/2019;
BIMEP BAJO E;18:15-18:45;27/06/2019;
BIMEP ALTO W;18:15-18:45;27/06/2019;
BIMEP ALTO E;18:15-18:45;27/06/2019;
POSBIMEP W;18:15-18:45;27/06/2019;
POSBIMEP A;18:15-18:45;27/06/2019;
POSBIMEP E;18:15-18:45;27/06/2019;
PREBIMEP W;8:10-8:40;25/07/2019;
PREBIMEP A;8:10-8:40;25/07/2019;
PREBIMEP E;8:10-8:40;25/07/2019;
BIMEP BAJO W;8:10-8:40;25/07/2019;
BIMEP BAJO A;8:10-8:40;25/07/2019;
BIMEP BAJO E;8:10-8:40;25/07/2019;
BIMEP ALTO W;8:10-8:40;25/07/2019;
BIMEP ALTO E;8:10-8:40;25/07/2019;
POSBIMEP W;8:10-8:40;25/07/2019;
POSBIMEP A;8:10-8:40;25/07/2019;
POSBIMEP E;8:10-8:40;25/07/2019;
PREBIMEP W;8:40-9:10;25/07/2019;
PREBIMEP A;8:40-9:10;25/07/2019;
PREBIMEP E;8:40-9:10;25/07/2019;
BIMEP BAJO W;8:40-9:10;25/07/2019;3
BIMEP BAJO A;8:40-9:10;25/07/2019;
BIMEP BAJO E;8:40-9:10;25/07/2019;
BIMEP ALTO W;8:40-9:10;25/07/2019;1
BIMEP ALTO E;8:40-9:10;25/07/2019;
POSBIMEP W;8:40-9:10;25/07/2019;
POSBIMEP A;8:40-9:10;25/07/2019;
POSBIMEP E;8:40-9:10;25/07/2019;
PREBIMEP W;9:10-9:40;25/07/2019;
PREBIMEP A;9:10-9:40;25/07/2019;
PREBIMEP E;9:10-9:40;25/07/2019;
BIMEP BAJO W;9:10-9:40;25/07/2019;
BIMEP BAJO A;9:10-9:40;25/07/2019;
BIMEP BAJO E;9:10-9:40;25/07/2019;
BIMEP ALTO W;9:10-9:40;25/07/2019;
BIMEP ALTO E;9:10-9:40;25/07/2019;
POSBIMEP W;9:10-9:40;25/07/2019;
POSBIMEP A;9:10-9:40;25/07/2019;
POSBIMEP E;9:10-9:40;25/07/2019;
PREBIMEP W;9:40-10:10;25/07/2019;
PREBIMEP A;9:40-10:10;25/07/2019;
PREBIMEP E;9:40-10:10;25/07/2019;
BIMEP BAJO W;9:40-10:10;25/07/2019;1
BIMEP BAJO A;9:40-10:10;25/07/2019;
BIMEP BAJO E;9:40-10:10;25/07/2019;
BIMEP ALTO W;9:40-10:10;25/07/2019;
BIMEP ALTO E;9:40-10:10;25/07/2019;
POSBIMEP W;9:40-10:10;25/07/2019;
POSBIMEP A;9:40-10:10;25/07/2019;
POSBIMEP E;9:40-10:10;25/07/2019;
PREBIMEP W;10:10-10:40;25/07/2019;
PREBIMEP A;10:10-10:40;25/07/2019;
PREBIMEP E;10:10-10:40;25/07/2019;
BIMEP BAJO W;10:10-10:40;25/07/2019;
BIMEP BAJO A;10:10-10:40;25/07/2019;
BIMEP BAJO E;10:10-10:40;25/07/2019;
BIMEP ALTO W;10:10-10:40;25/07/2019;
BIMEP ALTO E;10:10-10:40;25/07/2019;
POSBIMEP W;10:10-10:40;25/07/2019;
POSBIMEP A;10:10-10:40;25/07/2019;
POSBIMEP E;10:10-10:40;25/07/2019;
PREBIMEP W;10:40-11:10;25/07/2019;
PREBIMEP A;10:40-11:10;25/07/2019;
PREBIMEP E;10:40-11:10;25/07/2019;
BIMEP BAJO W;10:40-11:10;25/07/2019;
BIMEP BAJO A;10:40-11:10;25/07/2019;
BIMEP BAJO E;10:40-11:10;25/07/2019;
BIMEP ALTO W;10:40-11:10;25/07/2019;
BIMEP ALTO E;10:40-11:10;25/07/2019;
POSBIMEP W;10:40-11:10;25/07/2019;
POSBIMEP A;10:40-11:10;25/07/2019;
POSBIMEP E;10:40-11:10;25/07/2019;
PREBIMEP W;8:30-9:00;09/08/2019;
PREBIMEP A;8:30-9:00;09/08/2019;1
PREBIMEP E;8:30-9:00;09/08/2019;
BIMEP BAJO W;8:30-9:00;09/08/2019;
BIMEP BAJO A;8:30-9:00;09/08/2019;
BIMEP BAJO E;8:30-9:00;09/08/2019;
BIMEP ALTO W;8:30-9:00;09/08/2019;1
BIMEP ALTO E;8:30-9:00;09/08/2019;
POSBIMEP W;8:30-9:00;09/08/2019;
POSBIMEP A;8:30-9:00;09/08/2019;
POSBIMEP E;8:30-9:00;09/08/2019;
PREBIMEP W;9:00-9:30;09/08/2019;
PREBIMEP A;9:00-9:30;09/08/2019;
PREBIMEP E;9:00-9:30;09/08/2019;
BIMEP BAJO W;9:00-9:30;09/08/2019;
BIMEP BAJO A;9:00-9:30;09/08/2019;
BIMEP BAJO E;9:00-9:30;09/08/2019;
BIMEP ALTO W;9:00-9:30;09/08/2019;1
BIMEP ALTO E;9:00-9:30;09/08/2019;
POSBIMEP W;9:00-9:30;09/08/2019;
POSBIMEP A;9:00-9:30;09/08/2019;
POSBIMEP E;9:00-9:30;09/08/2019;
PREBIMEP W;9:30-10:00;09/08/2019;
PREBIMEP A;9:30-10:00;09/08/2019;
PREBIMEP E;9:30-10:00;09/08/2019;
BIMEP BAJO W;9:30-10:00;09/08/2019;
BIMEP BAJO A;9:30-10:00;09/08/2019;
BIMEP BAJO E;9:30-10:00;09/08/2019;
BIMEP ALTO W;9:30-10:00;09/08/2019;
BIMEP ALTO E;9:30-10:00;09/08/2019;
POSBIMEP W;9:30-10:00;09/08/2019;
POSBIMEP A;9:30-10:00;09/08/2019;
POSBIMEP E;9:30-10:00;09/08/2019;
PREBIMEP W;10:00-10:30;09/08/2019;
PREBIMEP A;10:00-10:30;09/08/2019;
PREBIMEP E;10:00-10:30;09/08/2019;
BIMEP BAJO W;10:00-10:30;09/08/2019;
BIMEP BAJO A;10:00-10:30;09/08/2019;
BIMEP BAJO E;10:00-10:30;09/08/2019;
BIMEP ALTO W;10:00-10:30;09/08/2019;
BIMEP ALTO E;10:00-10:30;09/08/2019;
POSBIMEP W;10:00-10:30;09/08/2019;
POSBIMEP A;10:00-10:30;09/08/2019;
POSBIMEP E;10:00-10:30;09/08/2019;
PREBIMEP W;10:30-11:00;09/08/2019;
PREBIMEP A;10:30-11:00;09/08/2019;
PREBIMEP E;10:30-11:00;09/08/2019;
BIMEP BAJO W;10:30-11:00;09/08/2019;
BIMEP BAJO A;10:30-11:00;09/08/2019;
BIMEP BAJO E;10:30-11:00;09/08/2019;
BIMEP ALTO W;10:30-11:00;09/08/2019;
BIMEP ALTO E;10:30-11:00;09/08/2019;
POSBIMEP W;10:30-11:00;09/08/2019;
POSBIMEP A;10:30-11:00;09/08/2019;
POSBIMEP E;10:30-11:00;09/08/2019;
PREBIMEP W;11:00-11:30;09/08/2019;
PREBIMEP A;11:00-11:30;09/08/2019;
PREBIMEP E;11:00-11:30;09/08/2019;
BIMEP BAJO W;11:00-11:30;09/08/2019;
BIMEP BAJO A;11:00-11:30;09/08/2019;
BIMEP BAJO E;11:00-11:30;09/08/2019;
BIMEP ALTO W;11:00-11:30;09/08/2019;
BIMEP ALTO E;11:00-11:30;09/08/2019;
POSBIMEP W;11:00-11:30;09/08/2019;
POSBIMEP A;11:00-11:30;09/08/2019;
POSBIMEP E;11:00-11:30;09/08/2019;
PREBIMEP W;17:15-17:45;09/08/2019;
PREBIMEP A;17:15-17:45;09/08/2019;
PREBIMEP E;17:15-17:45;09/08/2019;
BIMEP BAJO W;17:15-17:45;09/08/2019;
BIMEP BAJO A;17:15-17:45;09/08/2019;1
BIMEP BAJO E;17:15-17:45;09/08/2019;
BIMEP ALTO W;17:15-17:45;09/08/2019;1
BIMEP ALTO E;17:15-17:45;09/08/2019;2
POSBIMEP W;17:15-17:45;09/08/2019;
POSBIMEP A;17:15-17:45;09/08/2019;
POSBIMEP E;17:15-17:45;09/08/2019;
PREBIMEP W;17:45-18:15;09/08/2019;1
PREBIMEP A;17:45-18:15;09/08/2019;
PREBIMEP E;17:45-18:15;09/08/2019;
BIMEP BAJO W;17:45-18:15;09/08/2019;
BIMEP BAJO A;17:45-18:15;09/08/2019;
BIMEP BAJO E;17:45-18:15;09/08/2019;
BIMEP ALTO W;17:45-18:15;09/08/2019;2
BIMEP ALTO E;17:45-18:15;09/08/2019;
POSBIMEP W;17:45-18:15;09/08/2019;
POSBIMEP A;17:45-18:15;09/08/2019;
POSBIMEP E;17:45-18:15;09/08/2019;
PREBIMEP W;18:15-18:45;09/08/2019;1
PREBIMEP A;18:15-18:45;09/08/2019;
PREBIMEP E;18:15-18:45;09/08/2019;
BIMEP BAJO W;18:15-18:45;09/08/2019;
BIMEP BAJO A;18:15-18:45;09/08/2019;
BIMEP BAJO E;18:15-18:45;09/08/2019;
BIMEP ALTO W;18:15-18:45;09/08/2019;8
BIMEP ALTO E;18:15-18:45;09/08/2019;
POSBIMEP W;18:15-18:45;09/08/2019;
POSBIMEP A;18:15-18:45;09/08/2019;
POSBIMEP E;18:15-18:45;09/08/2019;
PREBIMEP W;18:45-19:15;09/08/2019;
PREBIMEP A;18:45-19:15;09/08/2019;
PREBIMEP E;18:45-19:15;09/08/2019;
BIMEP BAJO W;18:45-19:15;09/08/2019;
BIMEP BAJO A;18:45-19:15;09/08/2019;
BIMEP BAJO E;18:45-19:15;09/08/2019;
BIMEP ALTO W;18:45-19:15;09/08/2019;
BIMEP ALTO E;18:45-19:15;09/08/2019;
POSBIMEP W;18:45-19:15;09/08/2019;
POSBIMEP A;18:45-19:15;09/08/2019;
POSBIMEP E;18:45-19:15;09/08/2019;
PREBIMEP W;19:15-19:45;09/08/2019;
PREBIMEP A;19:15-19:45;09/08/2019;
PREBIMEP E;19:15-19:45;09/08/2019;
BIMEP BAJO W;19:15-19:45;09/08/2019;
BIMEP BAJO A;19:15-19:45;09/08/2019;
BIMEP BAJO E;19:15-19:45;09/08/2019;
BIMEP ALTO W;19:15-19:45;09/08/2019;2
BIMEP ALTO E;19:15-19:45;09/08/2019;
POSBIMEP W;19:15-19:45;09/08/2019;
POSBIMEP A;19:15-19:45;09/08/2019;
POSBIMEP E;19:15-19:45;09/08/2019;
PREBIMEP W;19:45-20:15;09/08/2019;
PREBIMEP A;19:45-20:15;09/08/2019;
PREBIMEP E;19:45-20:15;09/08/2019;
BIMEP BAJO W;19:45-20:15;09/08/2019;
BIMEP BAJO A;19:45-20:15;09/08/2019;
BIMEP BAJO E;19:45-20:15;09/08/2019;
BIMEP ALTO W;19:45-20:15;09/08/2019;
BIMEP ALTO E;19:45-20:15;09/08/2019;
POSBIMEP W;19:45-20:15;09/08/2019;1
POSBIMEP A;19:45-20:15;09/08/2019;
POSBIMEP E;19:45-20:15;09/08/2019;
PREBIMEP W;9:00-9:30;29/08/2019;
PREBIMEP A;9:00-9:30;29/08/2019;
PREBIMEP E;9:00-9:30;29/08/2019;
BIMEP BAJO W;9:00-9:30;29/08/2019;
BIMEP BAJO A;9:00-9:30;29/08/2019;
BIMEP BAJO E;9:00-9:30;29/08/2019;1
BIMEP ALTO W;9:00-9:30;29/08/2019;
BIMEP ALTO E;9:00-9:30;29/08/2019;
POSBIMEP W;9:00-9:30;29/08/2019;
POSBIMEP A;9:00-9:30;29/08/2019;
POSBIMEP E;9:00-9:30;29/08/2019;
PREBIMEP W;9:30-10:00;29/08/2019;
PREBIMEP A;9:30-10:00;29/08/2019;
PREBIMEP E;9:30-10:00;29/08/2019;
BIMEP BAJO W;9:30-10:00;29/08/2019;
BIMEP BAJO A;9:30-10:00;29/08/2019;
BIMEP BAJO E;9:30-10:00;29/08/2019;
BIMEP ALTO W;9:30-10:00;29/08/2019;
BIMEP ALTO E;9:30-10:00;29/08/2019;
POSBIMEP W;9:30-10:00;29/08/2019;
POSBIMEP A;9:30-10:00;29/08/2019;
POSBIMEP E;9:30-10:00;29/08/2019;
PREBIMEP W;10:00-10:30;29/08/2019;
PREBIMEP A;10:00-10:30;29/08/2019;
PREBIMEP E;10:00-10:30;29/08/2019;
BIMEP BAJO W;10:00-10:30;29/08/2019;1
BIMEP BAJO A;10:00-10:30;29/08/2019;
BIMEP BAJO E;10:00-10:30;29/08/2019;
BIMEP ALTO W;10:00-10:30;29/08/2019;
BIMEP ALTO E;10:00-10:30;29/08/2019;
POSBIMEP W;10:00-10:30;29/08/2019;
POSBIMEP A;10:00-10:30;29/08/2019;
POSBIMEP E;10:00-10:30;29/08/2019;
PREBIMEP W;10:30-11:00;29/08/2019;
PREBIMEP A;10:30-11:00;29/08/2019;
PREBIMEP E;10:30-11:00;29/08/2019;
BIMEP BAJO W;10:30-11:00;29/08/2019;
BIMEP BAJO A;10:30-11:00;29/08/2019;
BIMEP BAJO E;10:30-11:00;29/08/2019;
BIMEP ALTO W;10:30-11:00;29/08/2019;1
BIMEP ALTO E;10:30-11:00;29/08/2019;
POSBIMEP W;10:30-11:00;29/08/2019;
POSBIMEP A;10:30-11:00;29/08/2019;
POSBIMEP E;10:30-11:00;29/08/2019;
PREBIMEP W;11:00-11:30;29/08/2019;
PREBIMEP A;11:00-11:30;29/08/2019;
PREBIMEP E;11:00-11:30;29/08/2019;
BIMEP BAJO W;11:00-11:30;29/08/2019;
BIMEP BAJO A;11:00-11:30;29/08/2019;
BIMEP BAJO E;11:00-11:30;29/08/2019;
BIMEP ALTO W;11:00-11:30;29/08/2019;
BIMEP ALTO E;11:00-11:30;29/08/2019;
POSBIMEP W;11:00-11:30;29/08/2019;
POSBIMEP A;11:00-11:30;29/08/2019;
POSBIMEP E;11:00-11:30;29/08/2019;
PREBIMEP W;11:30-12:00;29/08/2019;
PREBIMEP A;11:30-12:00;29/08/2019;
PREBIMEP E;11:30-12:00;29/08/2019;
BIMEP BAJO W;11:30-12:00;29/08/2019;1
BIMEP BAJO A;11:30-12:00;29/08/2019;
BIMEP BAJO E;11:30-12:00;29/08/2019;
BIMEP ALTO W;11:30-12:00;29/08/2019;
BIMEP ALTO E;11:30-12:00;29/08/2019;
POSBIMEP W;11:30-12:00;29/08/2019;
POSBIMEP A;11:30-12:00;29/08/2019;
POSBIMEP E;11:30-12:00;29/08/2019;
PREBIMEP W;16:00-16:30;29/08/2019;1
PREBIMEP A;16:00-16:30;29/08/2019;
PREBIMEP E;16:00-16:30;29/08/2019;
BIMEP BAJO W;16:00-16:30;29/08/2019;
BIMEP BAJO A;16:00-16:30;29/08/2019;
BIMEP BAJO E;16:00-16:30;29/08/2019;
BIMEP ALTO W;16:00-16:30;29/08/2019;
BIMEP ALTO E;16:00-16:30;29/08/2019;
POSBIMEP W;16:00-16:30;29/08/2019;
POSBIMEP A;16:00-16:30;29/08/2019;
POSBIMEP E;16:00-16:30;29/08/2019;
PREBIMEP W;16:30-17:00;29/08/2019;
PREBIMEP A;16:30-17:00;29/08/2019;
PREBIMEP E;16:30-17:00;29/08/2019;
BIMEP BAJO W;16:30-17:00;29/08/2019;
BIMEP BAJO A;16:30-17:00;29/08/2019;
BIMEP BAJO E;16:30-17:00;29/08/2019;
BIMEP ALTO W;16:30-17:00;29/08/2019;
BIMEP ALTO E;16:30-17:00;29/08/2019;
POSBIMEP W;16:30-17:00;29/08/2019;
POSBIMEP A;16:30-17:00;29/08/2019;
POSBIMEP E;16:30-17:00;29/08/2019;
PREBIMEP W;17:00-17:30;29/08/2019;
PREBIMEP A;17:00-17:30;29/08/2019;
PREBIMEP E;17:00-17:30;29/08/2019;
BIMEP BAJO W;17:00-17:30;29/08/2019;
BIMEP BAJO A;17:00-17:30;29/08/2019;
BIMEP BAJO E;17:00-17:30;29/08/2019;
BIMEP ALTO W;17:00-17:30;29/08/2019;
BIMEP ALTO E;17:00-17:30;29/08/2019;
POSBIMEP W;17:00-17:30;29/08/2019;
POSBIMEP A;17:00-17:30;29/08/2019;
POSBIMEP E;17:00-17:30;29/08/2019;
PREBIMEP W;17:30-18:00;29/08/2019;
PREBIMEP A;17:30-18:00;29/08/2019;
PREBIMEP E;17:30-18:00;29/08/2019;
BIMEP BAJO W;17:30-18:00;29/08/2019;
BIMEP BAJO A;17:30-18:00;29/08/2019;
BIMEP BAJO E;17:30-18:00;29/08/2019;
BIMEP ALTO W;17:30-18:00;29/08/2019;1
BIMEP ALTO E;17:30-18:00;29/08/2019;1
POSBIMEP W;17:30-18:00;29/08/2019;1
POSBIMEP A;17:30-18:00;29/08/2019;
POSBIMEP E;17:30-18:00;29/08/2019;
PREBIMEP W;18:00-18:30;29/08/2019;
PREBIMEP A;18:00-18:30;29/08/2019;
PREBIMEP E;18:00-18:30;29/08/2019;
BIMEP BAJO W;18:00-18:30;29/08/2019;
BIMEP BAJO A;18:00-18:30;29/08/2019;
BIMEP BAJO E;18:00-18:30;29/08/2019;
BIMEP ALTO W;18:00-18:30;29/08/2019;2
BIMEP ALTO E;18:00-18:30;29/08/2019;
POSBIMEP W;18:00-18:30;29/08/2019;
POSBIMEP A;18:00-18:30;29/08/2019;
POSBIMEP E;18:00-18:30;29/08/2019;
PREBIMEP W;18:30-19:00;29/08/2019;
PREBIMEP A;18:30-19:00;29/08/2019;
PREBIMEP E;18:30-19:00;29/08/2019;
BIMEP BAJO W;18:30-19:00;29/08/2019;1
BIMEP BAJO A;18:30-19:00;29/08/2019;
BIMEP BAJO E;18:30-19:00;29/08/2019;1
BIMEP ALTO W;18:30-19:00;29/08/2019;
BIMEP ALTO E;18:30-19:00;29/08/2019;
POSBIMEP W;18:30-19:00;29/08/2019;
POSBIMEP A;18:30-19:00;29/08/2019;
POSBIMEP E;18:30-19:00;29/08/2019;
PREBIMEP W;9:30-10:00;10/09/2019;
PREBIMEP A;9:30-10:00;10/09/2019;
PREBIMEP E;9:30-10:00;10/09/2019;
BIMEP BAJO W;9:30-10:00;10/09/2019;
BIMEP BAJO A;9:30-10:00;10/09/2019;
BIMEP BAJO E;9:30-10:00;10/09/2019;
BIMEP ALTO W;9:30-10:00;10/09/2019;
BIMEP ALTO E;9:30-10:00;10/09/2019;
POSBIMEP W;9:30-10:00;10/09/2019;
POSBIMEP A;9:30-10:00;10/09/2019;
POSBIMEP E;9:30-10:00;10/09/2019;
PREBIMEP W;10:00-10:30;10/09/2019;
PREBIMEP A;10:00-10:30;10/09/2019;
PREBIMEP E;10:00-10:30;10/09/2019;
BIMEP BAJO W;10:00-10:30;10/09/2019;2
BIMEP BAJO A;10:00-10:30;10/09/2019;
BIMEP BAJO E;10:00-10:30;10/09/2019;
BIMEP ALTO W;10:00-10:30;10/09/2019;
BIMEP ALTO E;10:00-10:30;10/09/2019;
POSBIMEP W;10:00-10:30;10/09/2019;
POSBIMEP A;10:00-10:30;10/09/2019;
POSBIMEP E;10:00-10:30;10/09/2019;
PREBIMEP W;10:30-11:00;10/09/2019;
PREBIMEP A;10:30-11:00;10/09/2019;
PREBIMEP E;10:30-11:00;10/09/2019;
BIMEP BAJO W;10:30-11:00;10/09/2019;1
BIMEP BAJO A;10:30-11:00;10/09/2019;
BIMEP BAJO E;10:30-11:00;10/09/2019;
BIMEP ALTO W;10:30-11:00;10/09/2019;
BIMEP ALTO E;10:30-11:00;10/09/2019;
POSBIMEP W;10:30-11:00;10/09/2019;
POSBIMEP A;10:30-11:00;10/09/2019;
POSBIMEP E;10:30-11:00;10/09/2019;
PREBIMEP W;11:00-11:30;10/09/2019;
PREBIMEP A;11:00-11:30;10/09/2019;
PREBIMEP E;11:00-11:30;10/09/2019;
BIMEP BAJO W;11:00-11:30;10/09/2019;1
BIMEP BAJO A;11:00-11:30;10/09/2019;
BIMEP BAJO E;11:00-11:30;10/09/2019;
BIMEP ALTO W;11:00-11:30;10/09/2019;
BIMEP ALTO E;11:00-11:30;10/09/2019;
POSBIMEP W;11:00-11:30;10/09/2019;
POSBIMEP A;11:00-11:30;10/09/2019;
POSBIMEP E;11:00-11:30;10/09/2019;
PREBIMEP W;12:00-12:30;10/09/2019;
PREBIMEP A;12:00-12:30;10/09/2019;
PREBIMEP E;12:00-12:30;10/09/2019;
BIMEP BAJO W;12:00-12:30;10/09/2019;5
BIMEP BAJO A;12:00-12:30;10/09/2019;
BIMEP BAJO E;12:00-12:30;10/09/2019;
BIMEP ALTO W;12:00-12:30;10/09/2019;
BIMEP ALTO E;12:00-12:30;10/09/2019;
POSBIMEP W;12:00-12:30;10/09/2019;
POSBIMEP A;12:00-12:30;10/09/2019;
POSBIMEP E;12:00-12:30;10/09/2019;
PREBIMEP W;12:30-13:00;10/09/2019;
PREBIMEP A;12:30-13:00;10/09/2019;
PREBIMEP E;12:30-13:00;10/09/2019;
BIMEP BAJO W;12:30-13:00;10/09/2019;15
BIMEP BAJO A;12:30-13:00;10/09/2019;
BIMEP BAJO E;12:30-13:00;10/09/2019;
BIMEP ALTO W;12:30-13:00;10/09/2019;
BIMEP ALTO E;12:30-13:00;10/09/2019;
POSBIMEP W;12:30-13:00;10/09/2019;
POSBIMEP A;12:30-13:00;10/09/2019;
POSBIMEP E;12:30-13:00;10/09/2019;
PREBIMEP W;15:30-16:00;10/09/2019;
PREBIMEP A;15:30-16:00;10/09/2019;
PREBIMEP E;15:30-16:00;10/09/2019;
BIMEP BAJO W;15:30-16:00;10/09/2019;9
BIMEP BAJO A;15:30-16:00;10/09/2019;
BIMEP BAJO E;15:30-16:00;10/09/2019;
BIMEP ALTO W;15:30-16:00;10/09/2019;
BIMEP ALTO E;15:30-16:00;10/09/2019;
POSBIMEP W;15:30-16:00;10/09/2019;
POSBIMEP A;15:30-16:00;10/09/2019;
POSBIMEP E;15:30-16:00;10/09/2019;
PREBIMEP W;16:15-16:45;10/09/2019;1
PREBIMEP A;16:15-16:45;10/09/2019;
PREBIMEP E;16:15-16:45;10/09/2019;
BIMEP BAJO W;16:15-16:45;10/09/2019;4
BIMEP BAJO A;16:15-16:45;10/09/2019;
